,precision,recall,f1-score,support
Apple,0.9678111587982833,0.9494736842105264,0.9585547290116897,475.0
Blueberry,0.9868421052631579,1.0,0.9933774834437086,225.0
Cherry_(including_sour),0.9818181818181818,0.9440559440559441,0.9625668449197861,286.0
Corn_(maize),0.9914236706689536,1.0,0.9956933677863911,578.0
Grape,0.9967213114754099,0.9983579638752053,0.9975389663658737,609.0
Orange,0.9975816203143894,0.9987893462469734,0.9981851179673321,826.0
Peach,0.9633251833740831,0.9874686716791979,0.9752475247524752,399.0
"Pepper,_bell",0.9891304347826086,0.978494623655914,0.9837837837837838,372.0
Potato,0.9627329192546584,0.9597523219814241,0.9612403100775194,323.0
Raspberry,1.0,0.9642857142857143,0.9818181818181818,56.0
Soybean,0.9844559585492227,0.9960681520314548,0.990228013029316,763.0
Squash,0.9963768115942029,1.0,0.9981851179673321,275.0
Strawberry,0.9956331877729258,0.9743589743589743,0.9848812095032398,234.0
Tomato,0.9900990099009901,0.9908256880733946,0.9904622157006603,2725.0
accuracy,0.9872329977903266,0.9872329977903266,0.9872329977903266,0.9872329977903266
macro avg,0.9859965395405048,0.9815665060324802,0.9836973475805207,8146.0
weighted avg,0.9872361702839958,0.9872329977903266,0.9871962733503458,8146.0
