accuracy,loss,val_accuracy,val_loss,val_macro_f1,val_accuracy_sklearn,learning_rate
0.9123638272285461,0.8825520873069763,0.9852634072303772,0.6765978336334229,0.9788423728419409,0.9852634164312907,0.0010000000474974513
0.9764724373817444,0.7173862457275391,0.988333523273468,0.6682435870170593,0.9836284629517096,0.9883335380081051,0.0010000000474974513
0.9787883758544922,0.7053079605102539,0.9875966906547546,0.6632945537567139,0.983670872586993,0.9875967088296697,0.0010000000474974513
0.9804199934005737,0.7017450332641602,0.9902983903884888,0.6536229848861694,0.9857655923005076,0.9902984158172664,0.0010000000474974513
0.9820253849029541,0.6997237801551819,0.9893159866333008,0.6577702760696411,0.9864561774385331,0.9893159769126857,0.0010000000474974513
0.9900521039962769,0.6645709276199341,0.9959474205970764,0.6175938844680786,0.9946129496172267,0.995947439518605,9.999999747378752e-05
0.9954997897148132,0.6343729496002197,0.9977895021438599,0.6044585108757019,0.9972113935616641,0.9977895124646936,9.999999747378752e-05
0.9969998598098755,0.6200841069221497,0.9977895021438599,0.5980825424194336,0.9974919506383898,0.9977895124646936,9.999999747378752e-05
0.9979472756385803,0.6103132963180542,0.9988947510719299,0.5937701463699341,0.9987078666139443,0.9988947562323468,9.999999747378752e-05
0.9988683462142944,0.6022257208824158,0.9993859529495239,0.5837340950965881,0.9992633279453339,0.9993859756846372,9.999999747378752e-05
