Tâche;Modèle;Accuracy;F1-Score;AUC;Recall;Precision;Meilleur
Espèces;Light Gradient Boosting Machine;0.9003;0.8997;0.9929;0.9003;0.8998;Oui
Espèces;Random Forest Classifier;0.8725;0.8718;0.9888;0.8725;0.8730;Non
Espèces;Extra Trees Classifier;0.8700;0.8687;0.9881;0.8700;0.8698;Non
Espèces;K Neighbors Classifier;0.7615;0.7680;0.9341;0.7615;0.7922;Non
Espèces;Linear Discriminant Analysis;0.7355;0.7421;0.0000;0.7355;0.7694;Non
Maladies;Light Gradient Boosting Machine;0.8142;0.8148;0.9867;0.8142;0.8160;Oui
Maladies;Random Forest Classifier;0.7759;0.7773;0.9796;0.7759;0.7825;Non
Maladies;Extra Trees Classifier;0.7734;0.7743;0.9781;0.7734;0.7798;Non
Maladies;K Neighbors Classifier;0.6354;0.6489;0.8952;0.6354;0.6819;Non
Maladies;Linear Discriminant Analysis;0.6130;0.6252;0.0000;0.6130;0.6775;Non
